que that
del of
del del
los the
por by
con with
las the
una a
una an
una one
para to
para for
como how
como as
como like
fue was
sus their
sus his
sus your
sus its
entre among
entre entre
entre between
este this
este east
pero but
dos dos
dos two
son are
sobre on
sobre about
sobre envelope
desde since
desde from
esta this
enlaces links
hasta even
hasta until
externos external
ciudad town
ciudad city
ciudad ciudad
ser being
ser be
ser ser
parte party
parte part
durante during
sin without
sin sin
donde where
san san
san saint
era was
nacional national
nacional nacional
primera first
team team
cuando when
nombre name
estados states
utc utc
siglo siglo
siglo century
tiene has
otros other
otros others
gran big
gran great
gran gran
gran grand
unidos united
puede can
estado status
estado state
estado condition
uno uno
uno one
lugar venue
lugar place
lugar location
primer first
muy very
mismo same
nueva new
fueron were
historia story
historia history
club club
eran were
cual which
universidad university
universidad college
forma shape
forma form
tres tres
tres three
grupo grupo
grupo group
general general
guerra war
guerra warfare
aunque although
aunque though
tras after
familia families
familia family
todo everything
todo all
sur southern
sur sur
sur south
mayor major
tiempo weather
tiempo time
provincia province
partido party
partido match
contra counter
contra against
contra contra
encuentra find
encuentra finds
municipio township
municipio municipality
otras other
otras others
todos everybody
todos all
todos everyone
juan john
juan joan
sido been
bajo under
bajo low
bajo bajo
bajo bass
serie series
serie serial
serie serie
cada every
cada each
equipo equipment
equipo team
norte norte
norte north
norte northern
norte nord
han have
han han
argentina argentina
argentina argentine
nuevo new
junto along
septiembre september
octubre october
segunda segunda
segunda second
gobierno govt
gobierno governance
gobierno government
condado county
final end
final finale
final final
final finals
vida life
vida vida
personas persons
personas people
centro downtown
centro centro
centro center
centro centre
julio julio
julio julius
julio july
hay hay
lincoln lincoln
mientras while
web website
web web
internacional internacional
internacional international
santa holy
santa saint
santa santa
antes earlier
antes before
oficial official
oficial officer
quien who
mundo world
mundo mundo
embargo embargo
tanto both
mayo may
mayo mayo
algunos some
temporada seasonal
temporada season
hacia towards
hacia toward
mejor better
mejor best
luego then
marzo march
siendo being
madrid madrid
madrid liverpool
enero jan
enero january
agosto august
agosto aug
diciembre december
noviembre november
noviembre nov
otro other
otro another
estaba was
estos these
abril april
total total
sistema system
habitantes inhabitants
habitantes residents
real real
real royal
esto this
mundial worldwide
mundial world
mundial global
presidente chairperson
presidente chairman
presidente president
casa house
casa home
debido due
cuenta count
cuenta account
cuenta counts
junio june
febrero february
ella ella
ella she
ella her
pueden can
varios sundry
varios miscellaneous
varios various
varios several
francia france
solo alone
solo solo
solo only
solo just
chile chilean
chile chili
chile chile
tipo type
obra work
iglesia church
entonces then
entonces so
banda band
banda banda
banda gang
cuatro four
cuatro cuatro
zona zone
zona area
principal main
principal principal
tuvo had
carlos karl
carlos charles
carlos carl
carlos carlos
carlos charlie
otra another
rey king
rey rey
premio prize
premio award
hace does
hace makes
premios rewards
premios awards
premios prizes
premios award
sitio website
sitio siege
sitio site
futbolistas footballers
