des of
les the
est is
est east
une a
une an
une one
dans in
par by
pour for
sur on
qui who
que that
avec with
son sound
son his
son its
plus plus
plus more
pas not
pas no
sont are
elle she
elle elle
elle it
aux to
avancement advancement
avancement progress
comme as
comme like
mais but
cette this
pop pops
pop pop
deux two
ses his
ses ses
ses its
naissance born
naissance birth
aussi also
france france
saint holy
saint saint
fait made
fait done
notes notes
entre between
sous under
nom surname
nom name
ont have
paris paris
lui him
lui he
lieu venue
lieu place
lieu location
cet this
autres other
autres others
liens links
commune commune
commune common
ville town
ville city
jean jean
jean john
leur their
date date
cest cest
peut may
peut can
depuis since
depuis from
ans ans
ans years
alors then
alors so
externes external
site website
site site
premier premier
premier first
ces these
fut was
http http
ainsi thus
ainsi so
film movie
film film
voir see
voir view
pays country
pays countries
source source
ils they
grand large
grand big
grand great
grand grand
tout everything
tout all
lors during
groupe band
groupe group
titre title
monde world
nord north
nord northern
nord nord
bien good
bien well
contre against
liste list
puis then
club club
sud sud
sud south
partie party
partie part
avant front
avant before
non not
non no
trois three
articles articles
article article
guerre war
sans without
sans sans
saison season
fin fin
fin end
vers vers
vers towards
vers to
temps weather
temps time
plusieurs many
plusieurs several
plusieurs multiple
faire doing
faire do
faire make
faire faire
mars march
mars mars
histoire history
joueur player
mai may
mai mai
tour tour
tour tower
mort died
mort death
mort mort
mort dead
juin jun
juin june
pierre stone
pierre peter
pierre pierre
janvier january
avoir having
avoir have
fois times
autre autre
autre other
septembre september
juillet july
octobre october
octobre oct
octobre octobre
place place
famille family
avril apr
avril april
avril avril
insee insee
tous all
politique policy
politique politics
album album
todo todo
novembre november
novembre nov
avait had
donc so
prix prices
prix price
nouvelle new
grande large
grande big
grande great
grande grande
peu few
peu little
soit either
ligne line
ligne row
suite suite
nationale national
nationale nationale
championnat championship
encore again
encore still
encore encore
image picture
image image
vie life
vie vie
unis united
lien link
football soccer
football football
pendant during
jeux gaming
jeux games
moins minus
moins less
ouest west
ouest western
page page
nouveau new
vous you
notamment notably
centre center
centre centre
cours course
cours cours
cours courses
partir leave
village village
louis louis
nombre number
quelques some
leurs their
coupe haircut
coupe cup
coupe cutting
coupe cut
coupe coupe
population population
connexes related
homme male
homme homme
homme men
homme man
communes communes
communes municipalities
division division
national national
quatre four
cas case
cas cas
cas cases
jeu gaming
jeu game
jeu gambling
genre genre
genre gender
genre genus
genre like
musique music
fils wire
fils son
fils sons
fils yarn
roi king
roi roi
parti party
parti gone
jour day
europe europe
mise mise
mise wager
forme form
forme shape
devient becomes
ancien ancient
ancien old
ancien elder
ancien former
origine origin
origine origins
ordre order
part share
bar bar
charles charles
points dots
points points
ayant having
paul paul
rue street
rue rue
chef chef
chef chief
exemple example
trouve finds
durant during
durant durant
rapport report
art art
canton guangzhou
canton canton
dernier last
dernier latest
type type
habitants inhabitants
habitants residents
point point
compte count
compte account
eau water
