年 year
月 moon
月 months
月 month
日 day
和 and
村 village
人 man
人 people
% %
小行星 asteroids
小行星 asteroid
大 big
他 he
德 tak
重 heavy
重 heavier
一 one
定向 orientation
定向 directional
但 but
也 also
拉 pull
後 after
留言 message
市 city
市 municipality
克 grams
新 new
或 or
站 station
站 stand
州 state
研究 study
研究 studies
研究 research
日本 japan
三 three
前 before
家 home
近 near
米 rice
米 mi
米 metres
多 more
使用 usage
使用 using
使用 use
使用 used
基 ki
基 gi
基 kei
王 king
王 wang
林 lam
林 lin
公司 corporate
公司 company
公司 companies
李 lee
李 li
一個 one
西 west
省 province
省 governorate
省 voivodeship
度 degrees
度 degree
卡 cards
卡 card
二 two
小 small
小 little
小 tiny
相似 similar
相似 resemblance
相似 similarity
區 zone
區 district
區 area
人口 demographics
人口 demographic
人口 demography
人口 population
四 four
政府 governments
政府 government
我 i
道 dao
+ +
將 will
高 high
高 tall
高 gao
美國 america
集 set
集 episode
台灣 taiwan
布 cloth
世界 world
南 nan
南 south
南 nam
路 road
五 five
本 ben
金 jin
金 gold
金 kim
曾 zeng
文 wen
巴 ba
林肯 lincoln
人民 people
包括 included
包括 include
包括 including
包括 includes
峰 peak
峰 peaks
位於 located
其他 other
其他 others
塔 pagoda
塔 tower
縣 county
縣 canton
第一 first
任 ren
時間 time
比 ratio
元 meta
元 yuan
元 dollar
元 won
中國 china
六 six
主要 major
主要 main
城 city
城 castle
法 method
中心 centers
中心 center
中心 centre
線 line
線 lines
線 thread
第二 second
山 mountain
山 mount
山 hill
山 mountains
加 add
加 plus
太空 space
自己 myself
張 chang
張 zhang
內 inner
主 lord
雷 ray
管理 management
管理 managing
管理 manage
成為 become
建 build
建 built
性 sexuality
性 sexual
性 sex
成 sung
因此 so
代表 representatives
代表 representative
代表 delegate
那 then
公里 kilometres
公里 kilometre
公里 kms
公里 km
公里 kilometers
海 sea
海 ocean
這 this
大學 universities
大學 university
大學 college
版 edition
版 version
從 from
羅 luo
原 original
原 hara
工作 job
工作 work
工作 jobs
工作 working
北 kita
北 north
政治 politics
政治 political
星 star
星 stars
她 she
陳 chen
陳 chan
勒 le
面 noodles
作品 works
河 river
文化 culture
文化 cultures
條目 entries
迪 di
馬 horses
馬 horse
馬 ma
氏 clan
氏 thi
更 more
曼 mann
電影 movie
電影 cinema
電影 film
電影 movies
季 season
季 seasons
龍 dragons
龍 lung
龍 dragon
女 woman
女 female
正式 formally
正式 officially
正式 formal
外 outside
明 ming
美 beautiful
美 beauty
字 word
字 words
因為 because
北京 beijing
北京 peking
不同 different
它 it
足球 soccer
足球 football
達 da
目前 current
目前 currently
所有 all
部分 partial
部分 partially
中央 central
森 sen
森 mori
郡 county
國家 states
國家 country
國家 state
國家 national
國家 countries
球 ball
生 raw
但是 but
街 street
提供 provided
提供 provide
城市 city
城市 cities
一些 some
長 long
水 water
人物 character
軍 army
加入 join
加入 joined
加入 accession
英 ying
如果 if
艾 ai
上海 shanghai
史 shi
第三 third
屬 genus
魚 fish
波 bo
波 wave
回 back
無 none
吉 kat
你 you
方 fang
話 dialect
東 east
東 dong
英國 england
英國 uk
周 week
周 weeks
周 zhou
周 chow
石 shi
石 stone
事件 incident
事件 incidents
事件 events
事件 event
建立 creation
建立 establishment
建立 build
生活 living
生活 life
派 pi
派 pie
教育 educational
教育 education
車站 station
之後 after
萬 wan
國際 international
獎 awards
獎 prize
獎 award
完成 finished
完成 finish
完成 done
完成 complete
白 white
白 bai
音樂 music
音樂 musical
沙 sha
沙 sand
沙 shah
伯 bo
他們 they
可能 possible
分布 distributions
分布 distribution
分布 distributed
地區 areas
地區 district
地區 area
車 car
車 cars
官 officer
梅 may
梅 mei
中文 chinese
自由 freedom
自由 liberty
自由 free
黃 wong
黃 hwang
黃 huang
黃 yellow
獲得 get
光 light
光 hikari
重要 importance
重要 important
工程 engineering
工程 works
港 harbor
港 port
港 harbour
所以 so
列 column
段 duan
最後 last
提交 submission
提交 submit
提交 submitted
提交 submitting
一般 generally
經 sutra
需要 need
需要 needed
需要 needs
江 river
江 jiang
^ ^
莫 mo
臺灣 taiwan
臺灣 taiwanese
博 bo
最佳 optimal
最佳 optimum
這個 this
泰 tae
泰 tai
地方 place
地方 places
系列 series
電視 tv
電視 television
登 deng
黑 dark
黑 black
花 hana
花 flowers
花 flower
神 god
遊戲 game
遊戲 games
宗 zong
清 qing
最高 top
最高 highest
最高 supreme
要求 requirement
要求 requirements
要求 demands
要求 request
要求 demand
要求 requests
讓 jean
讓 let
版本 version
版本 editions
版本 versions
發現 found
發現 discover
發現 discovery
語 language
只有 only
內容 content
華 hua
華 wah
製作 production
製作 productions
出生 born
出生 birth
朱 zhu
朱 joo
航空 aviation
航空 aero
航空 airline
航空 airlines
航空 air
數 count
數 counting
數 number
出版 published
出版 publishing
出版 publication
發展 development
成功 successful
成功 success
面積 area
堡 fort
系統 system
系統 systems
蘭 lan
劉 yoo
劉 liu
劉 lau
班 squad
冠軍 champ
冠軍 champion
冠軍 champions
問題 problem
問題 question
問題 questions
康 kang
福 fuk
海拔 altitude
海拔 elevation
杜 du
> >
島 island
島 isle
方式 method
率 rate
請 please
名稱 name
名稱 names
官方 officially
愛 love
得到 get
平 flat
平 ping
印度 india
街道 street
街道 streets
街道 subdistrict
存在 existence
存在 presence
刪除 deleted
刪除 deleting
刪除 deletion
刪除 remove
刪除 delete
設計 designs
設計 design
設計 designing
發行 issuance
卡特 carter
群 group
命名 naming
負責 responsible
服務 services
服務 serve
服務 serves
服務 service
機 machine
任何 any
列表 list
唐 tang
唐 don
西班牙 spain
頁 pages
條 strips
世 se
兩 two
當 when
超 ultra
超 super
丁 ding
夏 xia
以上 above
著名 famous
聖 saint
志 zhi
志 chi
已經 already
