and et
was fut
was etait
was était
with avec
which lesquels
which laquelle
which lequel
first première
first premières
first premier
first premiers
you vous
you tu
you toi
you you
article article
team équipe
team equipe
american américaine
american américain
american américaines
american américains
such tels
such tel
such telle
such telles
discussion discussions
discussion discussion
discussion débat
links liens
see consultez
see voyez
see voir
see vois
years années
years ans
world monde
world mondial
world mondiale
university université
university universitaire
during durant
during pendant
during lors
then ensuite
then alors
then puis
external externe
external extérieurs
external extérieur
external extérieure
external externes
what quoi
what quel
what quelle
well bien
well puits
well bah
april avril
part partie
list liste
list listes
please veuillez
please please
please svp
following suivantes
following suivant
second second
second deuxième
second deuxieme
second seconde
history histoire
history historique
series série
series séries
north nord
high élevée
high hautes
high haut
high haute
high élevé
through via
now désormais
now now
now maintenant
because parce
because car
because parceque
music musiques
music musique
league league
league ligue
edits modifications
articles articles
could pourrais
could pouvait
could pourrait
could pourraient
album album
user utilisateur
user usager
area région
area zone
area domaine
became devenus
became devenu
became devenue
became devint
life vie
british britanniques
british britannique
game gibier
game match
game jeu
company compagnie
company entreprise
company société
left gauche
very très
very tres
very trés
place place
place endroit
place lieu
keep maintenir
keep garder
keep conserver
appropriate approprié
appropriate appropriées
appropriate appropriés
appropriate appropriée
four quatre
did did
found trouvée
found trouvé
found trouvées
found retrouvé
found trouvés
per per
public publics
public publiques
public public
public publique
played joués
played jouées
played jouée
played joué
members membres
members adhérents
think pense
think pensez
think réfléchis
think penser
think réfléchir
last dernier
last dernière
last derniers
last dernières
system système
notable notable
notable notables
notable remarquable
notable remarquables
station station
station gare
old ancienne
old anciens
old ancien
old vieux
old vieille
information informations
information infos
information renseignements
information information
set définir
own propres
own propre
own posséder
point point
around autour
around alentour
top top
top haut
main principal
main principales
main main
main principale
main principaux
language langue
language langage
language langues
https https
named nommée
named nommé
named nommés
note remarque
note note
note notez
original originale
original original
original originaux
age ère
age age
age âge
age âges
website site
population populations
population population
law loi
law droit
official fonctionnaire
official officielles
official officiels
official officielle
official officiel
although quoique
small petit
small petits
small petites
small petite
third troisieme
third troisième
third tiers
third third
third troisièmement
due dus
due due
due dû
get obtenez
get obtenir
closed fermée
closed fermé
closed fermés
closed clos
community communaute
community communautaire
community communauté
community collectivité
army armée
death décès
death death
death mort
built construite
built construit
built bâti
built construits
include incluent
include inclure
include comprennent
include inclut
take prend
take prendre
take prenez
take prends
stadium stade
stadium stadium
archive archivage
archive archiver
archive archive
archive archives
places endroits
places lieux
few peu
side latéraux
side côté
side latérale
side latéral
power puissance
power pouvoir
know connaitre
know connaître
know sais
know sachez
know savoir
category catégorie
category catégories
near proche
near près
need nécessité
need besoins
need besoin
find trouver
find trouvez
play jouer
play jouez
radio radiophonique
radio radio
development developpement
development développement
live live
live vivant
live vivre
next prochain
next suivante
next suivant
next prochaine
next next
region région
little petit
little peu
little petite
province province
western occidentale
western occidental
western ouest
western western
france france
council conseil
current actuel
current courant
current actuels
current actuelle
department département
among parmis
among parmi
force force
force forcer
position position
director directeur
director directrice
director réalisateur
track piste
track morceau
canada canada
george georges
george george
level niveau
late tardive
late tardif
late retard
late tard
office bureaux
office bureau
period période
round arrondi
round ronde
round rond
round rondes
round ronds
million million
million millions
european européens
european européennes
european européenne
european européen
term terme
post publier
post poste
post publication
produced produite
produced produites
subject objet
subject sujet
science science
science scientifique
science sciences
related connexe
related connexes
related lié
related liés
rock rocheux
rock rock
described décrites
described décrits
described décrit
described décrite
role rôle
election élection
election election
election élections
albums albums
books ouvrages
books livres
important importante
important important
important importantes
important importants
run courir
run exécuter
rather plutôt
editor rédacteur
editor éditeur
editor rédactrice
editor editeur
schools école
schools ecoles
schools écoles
production production
similar similaires
similar similaire
similar semblables
similar analogue
similar semblable
background fond
background contexte
data données
color couleur
color coloris
color couleurs
services services
already déja
already déjà
already deja
already dejà
currently actuellement
currently présentement
historic historique
historic historiques
change modifier
change changements
change changer
change changement
location localisation
location emplacement
location localité
location lieu
yes oui
yes yes
our notre
our nos
something quelquechose
groups groupes
content contenu
content contenus
isbn isbn
half moitié
half demi
event évènement
event événement
event evénement
events évènements
events evénements
events evenements
events événements
star étoile
star vedette
star etoiles
star star
star étoiles
really vraiment
really réellement
taken prises
taken taken
taken pris
taken prise
going aller
lake lac
married mariées
married mariés
married mariée
married marié
away loin
process processus
process procédé
low basses
low basse
low faible
low faibles
low bas
pages pages
seen vu
seen vus
republic république
thomas thomas
thanks merci
thanks remerciement
thanks cordialement
thanks remerciements
someone someone
eastern orientale
eastern oriental
question question
opened ouvert
tour visite
tour tour
tour tournée
cross croisée
cross croix
cross traverser
cross croisé
institute institute
institute institut
caps casquettes
caps chapeaux
caps caps
caps bouchons
forces forces
problem problème
problem problématique
issues problèmes
win victoire
win gagnez
win gagner
win gagnant
joined rejoints
joined rejoint
elected élue
elected élu
elected élues
elected élus
stage étape
stage stade
stage scène
addition addition
addition ajout
academy académie
academy academy
saint sainte
saint saint
continued continué
africa afrique
culture culture
committee comité
things choses
changed changé
changed changée
course cours
mentioned mentionnée
mentioned mentionné
mentioned mentionnés
festival festival
festival fête
basketball basket
basketball basketball
move déménagement
move bouger
move déménager
move déplacer
give donner
give donne
give donnez
primary primaire
primary primaires
announced annoncé
announced annoncés
announced annoncées
announced annoncée
value valeur
christian chrétiens
christian christianisme
christian chrétienne
christian christian
christian chrétien
artists artistes
view afficher
view vue
view voir
view affichage
view visualiser
ever jamais
ever ever
future future
future futures
future futur
future futurs
future avenir
formed formés
formed formé
formed formées
formed formée
los los
results résultats
return retourner
return retour
return revenir
front front
front avant
front devant
despite malgré
material matériel
material matériaux
material matériau
footballers footballeurs
rev rév
rev rev
virginia virginie
virginia virginia
attack attaquez
attack attaque
attack attentat
attack attack
attack attaquer
outside extérieur
outside dehors
outside exterieur
writer rédacteur
writer auteur
writer écrivain
writer scénariste
border frontière
border frontalier
border frontières
border border
border bordure
countries pays
writing ecrire
writing rédaction
writing écriture
writing écrire
provided fournies
provided fourni
provided fournie
provided fournis
killed tué
killed tuée
killed tués
label libellé
label label
label étiquette
label étiquettes
fair foire
fair justes
fair équitable
fair équitables
search chercher
search rechercher
search recherche
search recherches
search recherchez
bay baie
bay bay
hill hill
hill colline
appointed désignés
appointed désigné
appointed nommé
appointed nommés
movement mouvements
movement movement
movement mouvement
specific spécifiques
specific spécifique
got got
pennsylvania pennsylvanie
ten rte
ten dix
ten ten
etc etc
thought réfléchi
thought pensais
thought pensé
thought pensée
generally généralement
capital majuscule
capital capitaux
capital capitale
capital capital
believe croyez
believe croire
believe croient
believe crois
bridge bridge
bridge pont
bridge passerelle
followed suivis
followed suivit
followed suivie
followed suivies
request demander
request demande
request requête
request demandez
soon bientôt
soon prochainement
soon bientot
professor professeur
professor professeure
studio studio
competition compétition
competition concurrence
competition concours
islands îles
islands iles
additional supplémentaire
additional supplémentaires
additional additionnel
soviet soviétique
soviet soviet
soviet soviétiques
hockey hockey
mary marie
mary mary
mary myriam
airport aéroports
airport aéroport
irish irlandaise
irish irlandais
child enfant
eight huit
eight eight
problems problèmes
coverage couverture
minor mineures
minor mineure
minor mineur
foundation fondement
foundation fondation
foundation fondations
ice verglas
ice ice
ice glace
theory théories
theory théorie
computer ordinateurs
computer ordinateur
none aucun
none néant
none aucune
tournament tournois
tournament tournoi
lot lot
mountain montagne
mountain montagnes
editing montage
editing éditer
editing édition
replaced remplacé
replaced remplacée
replaced remplacées
replaced remplacés
multiple multiple
multiple multiples
multiple plusieurs
terms termes
sir messire
sir monsieur
topic thème
topic sujet
officer officier
recent récents
recent récent
recent récentes
recent récente
senior seniors
senior aîné
senior senior
selected sélectionnés
selected sélectionnées
selected sélectionnée
selected sélectionné
cities villes
birth naissance
sun dim
sun soleil
prior prieur
religious religieux
religious religieuses
religious religieuse
god god
god dieu
running courir
brought apporté
brought amené
brought amenés
missing manquants
missing manquante
missing manque
missing manquant
missing disparu
economic économique
economic economiques
economic economique
lord lord
lord seigneur
web web
web enchaînement
security securité
security sûreté
security sécurité
ohio ohio
legal juridique
legal légal
legal légales
legal légale
russia russie
establishments établissements
agree convenir
agree acceptez
bad méchant
bad bad
bad mal
bad mauvaise
bad mauvais
populated peuplée
populated peuplés
populated peuplé
populated peuplées
nature nature
captain captain
captain capitaine
hard difficiles
hard dur
hard hard
hard difficile
hard dure
box coffret
box boîte
box boite
democratic démocratique
democratic démocrate
democratic démocratiques
traditional traditionnelles
traditional traditionnel
traditional traditionnelle
traditional traditionnels
rest repos
rest repose
highway route
highway autoroute
highway autoroutes
particularly particulièrement
plan planifier
plan plan
nomination nomination
jersey maillot
jersey jersey
master maitre
master master
master maître
stop arrêt
stop stop
stop arrêter
stop arrête
stop arrêtez
afd afd
experience expériences
experience expérience
takes prend
secretary secrétaire
houses maisons
scores partitions
scores scores
dead morts
dead morte
dead dead
dead mort
key touche
key clef
key clé
key clefs
key clés
plant végétal
plant usine
plant plante
villages bourgs
villages villages
covered couvert
covered couvertes
covered couverte
covered recouvert
covered couverts
merge fusionner
merge fusionne
merge fusion
programs programmes
lived vécue
lived vécu
dance danse
dance danser
georgia géorgie
georgia georgie
pass passer
pass passe
pass passent
pass pass
transport transports
transport transport
wing escadre
wing aile
wing ailier
wing wing
wing ailes
purpose objet
purpose finalité
purpose but
purpose objectif
genus genre
congress congrès
overall globale
overall globalement
comes vient
complex complexe
complex complexes
academic académiques
academic universitaire
academic universitaires
academic académique
stars etoiles
stars vedettes
stars étoiles
asian asiatiques
asian asiatique
friends amies
friends amis
asia asie
asia asiatique
rate taux
rate tarif
literature littérature
forest forestier
forest forêts
forest forêt
forest foret
voice voix
jack valet
jack vérin
jack jack
champion championne
champion champion
columbia colombie
columbia columbia
claims réclamations
claims créances
claims allégations
