les the
est is
est east
une a
une an
une one
dans in
catégorie category
par by
pour for
avec with
plus plus
plus more
comme as
comme like
cette this
ses his
ses ses
ses its
nom surname
nom name
français français
français french
lieu venue
lieu place
lieu location
liens links
ville town
ville city
date date
première premiere
première first
ans ans
ans years
alors then
alors so
ainsi thus
ainsi so
pays country
pays countries
lors during
non not
non no
trois three
articles articles
saison season
plusieurs many
plusieurs several
plusieurs multiple
histoire history
série series
série serial
joueur player
mort died
mort death
mort mort
mort dead
française french
pierre stone
pierre peter
pierre pierre
janvier january
église church
états states
insee insee
album album
novembre november
novembre nov
nouvelle new
février february
février feb
département department
grande large
grande big
grande great
grande grande
américain american
soit either
ligne line
ligne row
suite suite
championnat championship
encore again
encore still
encore encore
vie life
vie vie
moins minus
moins less
ouest west
ouest western
cours course
cours cours
cours courses
université university
université college
siècle century
coupe haircut
coupe cup
coupe cutting
coupe cut
coupe coupe
président president
président chair
président chairperson
président chairman
société society
société company
cas case
cas cas
cas cases
parti party
parti gone
époque epoch
époque era
ordre order
paul paul
durant during
durant durant
canton guangzhou
canton canton
dernier last
dernier latest
point point
john john
conseil consulting
conseil advice
conseil council
françois francis
françois francois
françois françois
maison house
maison home
cela this
cela that
production production
certains some
membre member
près near
rôle role
mois months
mois month
république republic
score score
center center
elles elles
elles they
petit small
petit petit
petit little
épisode episode
scène scene
scène stage
situé located
situé situated
asp asp
étaient were
troisième third
tard late
roman roman
jours days
sera will
effet effect
espèce species
bas stockings
bas low
bas bas
allemagne allemagne
allemagne germany
bataille battle
route route
route highway
route road
york york
royaume kingdom
royaume realm
royaume royaume
ceux those
base base
base basis
communauté community
livre book
livre pound
livre livre
suisse switzerland
suisse swiss
valign valign
beaucoup many
beaucoup much
fille girl
fille daughter
enfants kids
enfants children
enfants childrens
merci thanks
construction construction
ancienne ancient
ancienne old
ancienne former
maire maire
maire mayor
personnalité personality
ligue league
public public
dernière last
dernière latest
poste post
grâce grace
développement development
sortie output
sortie outing
sortie exit
sortie out
david david
équipes teams
mer sea
espagne espagne
espagne spain
fichier file
nombreuses many
nombreuses numerous
code code
entraîneur trainer
entraîneur coach
semble seems
semble appears
six six
créé created
devant front
devant devant
petite small
petite little
petite petite
entreprise business
entreprise company
entreprise enterprise
retour throwback
retour return
retour back
principale main
principale principal
comté county
comté shire
second second
objet object
objet purpose
objet subject
question question
lorsque when
van van
médaille medal
zone zone
zone area
italien italian
championnats championships
films films
films movies
surtout especially
surtout mostly
parfois sometimes
parfois occasionally
succès successes
succès success
martin martin
député congressman
député mep
député mp
député deputy
notre our
festival festival
georges george
georges georges
blanc white
blanc blank
